Camera	Point	x	y
ALICE1	0	5705.0	2466.0
ALICE1	1	5697.0	3011.0
ALICE1	2	5152.0	3011.0
ALICE1	3	5160.0	2466.0
ALICE2	0	6281.0	4439.0
ALICE2	1	4999.0	4515.0
ALICE2	2	5022.0	4492.0
ALICE2	3	6281.0	4469.0
ALICE3	0	3441.0	2874.0
ALICE3	1	2996.0	3160.0
ALICE3	2	2291.0	3001.0
ALICE3	3	2747.0	2726.0
ALICE4	0	3155.0	2360.0
ALICE4	1	3569.0	2689.0
ALICE4	2	2805.0	2837.0
ALICE4	3	2386.0	2503.0
ALICE5	0	2561.0	2535.0
ALICE5	1	2996.0	2302.0
ALICE5	2	3717.0	2503.0
ALICE5	3	3293.0	2758.0
ALICE6	0	3224.0	2752.0
ALICE6	1	2816.0	2471.0
ALICE6	2	3547.0	2355.0
ALICE6	3	3971.0	2636.0
